link,name,ou
https://byui.brightspace.com/d2l/p/home/319434,ART 110: 07 (Online); Fall 2017,319434
https://byui.brightspace.com/d2l/p/home/319435,ART 110: 08 (Online); Fall 2017,319435
https://byui.brightspace.com/d2l/p/home/312274,ART 110: 09 (Online); Fall 2017,312274
https://byui.brightspace.com/d2l/p/home/312275,ART 110: 10 (Online); Fall 2017,312275
https://byui.brightspace.com/d2l/p/home/10765,ART 117 Demo,10765
https://byui.brightspace.com/d2l/p/home/6634,ART 117 Design-Color,6634
https://byui.brightspace.com/d2l/p/home/101370,ART 130 - Course Council Copy,101370
https://byui.brightspace.com/d2l/p/home/73749,ART 130 - R--- - Online Reference,73749
https://byui.brightspace.com/d2l/p/home/312276,ART 130: 04 (Online); Fall 2017,312276
https://byui.brightspace.com/d2l/p/home/312277,ART 130: 05 (Online); Fall 2017,312277
https://byui.brightspace.com/d2l/p/home/312278,ART 130: 06 (Online); Fall 2017,312278
https://byui.brightspace.com/d2l/p/home/312279,ART 130: 07 (Online); Fall 2017,312279
https://byui.brightspace.com/d2l/p/home/312280,ART 130: 08 (Online); Fall 2017,312280
https://byui.brightspace.com/d2l/p/home/312281,ART 130: 09 (Online); Fall 2017,312281
https://byui.brightspace.com/d2l/p/home/312282,ART 130: 11 (Online); Fall 2017,312282
https://byui.brightspace.com/d2l/p/home/101375,ART 160 - Course Council Copy,101375
https://byui.brightspace.com/d2l/p/home/18812,ART 160 - R--- - Online Reference,18812
https://byui.brightspace.com/d2l/p/home/312283,ART 160: 03 (Online); Fall 2017,312283
https://byui.brightspace.com/d2l/p/home/312284,ART 160: 04 (Online); Fall 2017,312284
https://byui.brightspace.com/d2l/p/home/312285,ART 160: 05 (Online); Fall 2017,312285
https://byui.brightspace.com/d2l/p/home/101371,ART 230 - Course Council Copy,101371
https://byui.brightspace.com/d2l/p/home/17904,ART 230 - R--- - Online Reference,17904
https://byui.brightspace.com/d2l/p/home/312288,ART 230: 02 (Online); Fall 2017,312288
https://byui.brightspace.com/d2l/p/home/312289,ART 230: 03 (Online); Fall 2017,312289
https://byui.brightspace.com/d2l/p/home/312290,ART 230: 04 (Online); Fall 2017,312290
https://byui.brightspace.com/d2l/p/home/312292,ART 230: 05 (Online); Fall 2017,312292
https://byui.brightspace.com/d2l/p/home/101372,ART 235 - Course Council Copy,101372
https://byui.brightspace.com/d2l/p/home/312293,ART 235: 02 (Online); Fall 2017,312293
https://byui.brightspace.com/d2l/p/home/312294,ART 235: 03 (Online); Fall 2017,312294
https://byui.brightspace.com/d2l/p/home/101373,ART 331R - Course Council Copy,101373
